                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4866,                 2.2001,                 1.9197,                0.61259,                 0.4675,                 0.5348,                0.27813,                 1.8243,                 5.4653,                 2.5794,             0.00026672,             0.00026672,             0.00026672
                      2,                 1.4923,                 1.7816,                 1.8411,                0.16129,                0.36417,                 0.2293,                0.11419,                 2.1575,                 13.851,                 3.7041,             0.00027781,             0.00027781,             0.00027781
